station code,year,wqi,ph,do,bod,nitrate,locations,locations_full,water_quality
18,2014,38.0,7.0,7.0,1.1,0.2,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
1860,2003,109.0,540.0,8.1,2.5,0.516,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Bad
1860,2006,85.0,7.935,5.35,4.7,0.835,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Average
1860,2007,75.0,7.7,4.9,3.6,0.516,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Average
1860,2008,69.0,7.8,5.1,2.73,0.6,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Average
1860,2009,104.0,8.0,5.7,7.4,0.5,NAN,NAN,Average
1860,2010,80.0,8.1,5.1,3.7,0.45,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Average
1860,2011,56.0,8.0,6.7,1.5,0.18,BALEHWAR KHADI AT N.H. NO. 8,BALEHWAR KHADI AT N.H. NO. 8,Average
1860,2013,70.0,8.3,4.5,1.5,11.0,BALEHWAR KHADI AT N.H. NO 8,BALEHWAR KHADI AT N.H. NO 8,Average
1861,2003,106.0,443.0,8.1,2.0,0.516,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Bad
1861,2006,79.0,7.995,7.05,4.7,1.195,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Average
1861,2007,64.0,8.0,6.4,2.4,0.516,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Average
1861,2008,68.0,8.2,6.0,2.28,0.4,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Average
1861,2009,85.0,8.3,4.7,3.7,0.5,NAN,NAN,Average
1861,2010,59.0,8.0,7.1,2.0,0.35,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,RIVER PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Average
1861,2011,63.0,7.7,5.8,2.5,0.22,PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,Average
1862,2003,113.0,467.0,8.1,3.0,0.516,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Bad
1862,2006,88.0,8.14,6.5,5.3,1.397,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1862,2007,65.0,7.9,6.7,2.9,0.516,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1862,2008,63.0,8.1,6.1,1.9,0.43,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1862,2009,68.0,7.8,5.8,3.0,0.5,NAN,NAN,Average
1862,2010,71.0,8.2,6.8,3.1,0.62,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,RIVER KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1862,2011,71.0,7.6,5.9,3.9,0.07,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1862,2013,100.0,8.1,6.7,7.2,1.0,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,Average
1865,2003,204.0,1304.0,7.8,19.5,0.516,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Bad
1865,2006,155.0,7.885,6.7,15.0,0.42,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Bad
1865,2007,75.0,7.6,5.7,4.2,0.4,RIVER DHADHAR AT KOTHWADA,RIVER DHADHAR AT KOTHWADA,Average
1865,2008,121.0,7.8,1.1,7.67,0.63,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Bad
1865,2009,99.0,7.5,2.5,6.0,0.6,NAN,NAN,Average
1865,2010,98.0,7.6,8.1,8.6,0.4,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Average
1865,2011,112.0,7.7,7.6,10.0,0.34,DHADAR AT KOTHADA,DHADAR AT KOTHADA,Bad
1865,2012,120.0,8.4,6.2,9.0,0.38,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Bad
1865,2013,45.0,0.0,6.7,1.8965,6.0,RIVER DHADAR AT KOTHADA,RIVER DHADAR AT KOTHADA,Good
1870,2006,155.0,7.875,6.65,43.0,0.824,RIVER SUKHANA AT PARWANOO,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",Bad
1870,2007,158.0,7.6,4.9,19.6,1.8,RIVER SUKHANA AT PARWANOO,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",Bad
1870,2008,75.0,7.8,4.9,3.5,0.516,RIVER SUKHANA AT PARWANOO,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",Average
1870,2009,99.0,7.82,5.475,6.9,1.26,NAN,NAN,Average
1870,2011,101.0,7.6,5.5,7.6,1.02,RIVER SUKHANA AT PARWANOO,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN, H.P.",Average
1870,2012,152.0,7.5,6.2,41.5,4.08,RIVER SUKHANA AT PARWANOO,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",Bad
